"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-16T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.57,"provisorisch"
"2023-01-17T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.65,"provisorisch"
"2023-01-17T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",115.27,"provisorisch"
"2023-01-17T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",937.53,"provisorisch"
"2023-01-17T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",19.48,"provisorisch"
"2023-01-17T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.77,"provisorisch"
"2023-01-17T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",2.4,"provisorisch"
"2023-01-17T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",122.48,"provisorisch"
"2023-01-17T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",940.14,"provisorisch"
"2023-01-17T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.86,"provisorisch"
"2023-01-17T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.04,"provisorisch"
"2023-01-17T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",134.09,"provisorisch"
"2023-01-17T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",937.94,"provisorisch"
"2023-01-17T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",3.42,"provisorisch"
"2023-01-18T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.78,"provisorisch"
"2023-01-18T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",298.7,"provisorisch"
"2023-01-18T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",945.44,"provisorisch"
"2023-01-18T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",29.78,"provisorisch"
"2023-01-18T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.58,"provisorisch"
"2023-01-18T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.68,"provisorisch"
"2023-01-18T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",213.02,"provisorisch"
"2023-01-18T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",948.1,"provisorisch"
"2023-01-18T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.74,"provisorisch"
